ID,Longitude,Latitude,sampling_d
22222,115.835988,-32.096627,-2
8297691,115.691622,-31.541093,-30
8297697,115.685182,-31.5432,-5.95
8297726,115.68698,-31.554633,-12.22
8297729,115.695734,-31.570323,-15
9371284,115.767543,-31.802881,-45
9963955,115.843254,-32.207741,-26.5
10022441,115.924023,-32.209998,-20.43
10022448,115.835988,-32.096627,-3
10022456,115.839664,-32.134387,-3
10117850,115.877647,-32.161404,-3
11188904,115.859411,-32.22021,-4.5
11550412,115.904054,-32.087745,-8
11551298,115.881613,-32.165823,-6.5
12078898,115.832204,-32.21677,-28.43
12078901,115.832211,-32.216782,-23.18
12078904,115.832217,-32.216794,-16.75
12078910,115.846834,-32.214052,-28.86
12078913,115.846845,-32.214079,-16
12078916,115.846844,-32.214106,-4
12282750,115.946931,-31.735994,-6.97
12282818,115.85386,-31.666774,-9.83
12282904,115.964113,-31.704099,-3.83
12781234,115.881139,-32.154254,-4
12781481,115.851815,-32.14185,-2.84
12781594,115.873964,-31.7899,-4.21
13581943,115.927811,-32.094065,-5
13582505,115.914668,-32.156115,-4.38
13593602,115.690363,-31.575226,-6
14136052,115.962018,-31.835566,-4.95
14295169,115.867091,-31.912447,-4.5
14413068,115.763667,-31.865862,-11
15107569,115.974553,-31.661948,-5.43
15410417,115.914613,-31.70492,-7.57
20083200,116.011739,-31.689451,-4.5
20083201,116.011729,-31.689451,-5.25
20083202,116.011718,-31.689451,-4
20083203,116.011737,-31.689488,-3.1
20083257,116.004639,-31.676549,-4
20083258,116.004628,-31.676549,-4
20083259,116.004627,-31.676577,-4
20083320,116.006996,-31.659291,-4.5
20083339,116.006985,-31.65929,-5
20083340,116.006983,-31.659328,-4
20083343,116.008349,-31.652075,-5
20083344,116.008338,-31.652075,-4.75
20083345,116.008326,-31.652103,-3.5
23000199,115.638567,-31.560377,-38.14
23000313,115.854247,-32.15689,-7
23000613,115.86854,-31.711088,-8.8
23000793,115.985193,-31.827019,-3.19
23000795,115.98863,-31.825612,-5.95
23000796,115.986048,-31.826356,-2.81
23000797,115.985012,-31.823944,-4.2
23000802,115.985076,-31.825663,-3.4
23000803,115.986456,-31.826929,-3.46
23000805,115.987617,-31.826648,-3.12
23000809,115.987665,-31.825301,-3.77
23000810,115.98669,-31.825183,-3.95
23002408,115.915611,-32.019861,-3.71
23002409,115.917387,-32.01827,-2.4
23002410,115.920293,-32.017817,-3.58
23002411,115.922112,-32.01712,-3.75
23002412,115.923217,-32.018654,-2.44
23002413,115.921112,-32.019331,-2.51
23019664,115.922862,-32.018227,-2.87
23019665,115.923112,-32.018518,-3.86
23019666,115.923374,-32.018772,-3.83
23019667,115.923292,-32.01851,-4.4
23019668,115.922761,-32.018668,-2.46
23019669,115.922623,-32.023259,-2.48
23023900,115.9286,-32.159003,-3.4
23023903,115.949413,-32.164861,-3.2
23023904,115.949445,-32.164825,-13.49
23023906,115.940304,-32.151939,-3.6
23023907,115.822338,-32.076871,-2
23023910,115.827589,-32.07885,-2.6
23023913,115.830101,-32.078765,-3
23023936,115.940357,-32.152003,-13.3
23023989,115.771047,-31.721887,-3.52
23023995,115.943078,-32.164267,-3.15
23023996,115.9452,-32.165,-4.7
23023997,115.945191,-32.164961,-16.2
23023999,115.811689,-31.728035,-2.95
23028425,115.886302,-31.424498,-31.8
23028426,115.886301,-31.424468,-15.6
23028427,115.886302,-31.42448,-4.95
23028428,115.894989,-31.424368,-35.3
23028429,115.894973,-31.424353,-17
